,0,1
185,472.0,0.0
186,471.0,499.0
187,471.0,485.0
188,471.0,431.0
189,471.0,176.0
190,471.0,74.0
191,470.0,352.0
192,470.0,331.0
193,470.0,254.0
194,469.0,511.0
195,469.0,286.0
196,469.0,222.0
197,469.0,197.0
198,468.0,318.0
199,468.0,162.0
200,468.0,148.0
201,468.0,125.0
202,468.0,104.0
203,468.0,50.0
204,468.0,23.0
205,467.0,475.0
206,467.0,394.0
207,467.0,383.0
208,467.0,372.0
209,467.0,342.0
210,467.0,37.0
211,466.0,298.0
212,466.0,266.0
213,465.0,462.0
214,465.0,245.0
215,465.0,211.0
216,465.0,60.0
217,464.0,491.0
218,464.0,421.0
219,464.0,407.0
220,464.0,6.0
221,463.0,451.0
222,463.0,360.0
223,463.0,277.0
224,463.0,114.0
225,463.0,85.0
226,462.0,502.0
227,462.0,136.0
228,461.0,430.0
229,461.0,328.0
230,461.0,309.0
231,461.0,188.0
232,461.0,73.0
233,460.0,441.0
234,460.0,237.0
235,460.0,175.0
236,460.0,96.0
237,459.0,228.0
238,459.0,201.0
239,459.0,51.0
240,459.0,16.0
241,458.0,482.0
242,458.0,471.0
243,458.0,392.0
244,458.0,349.0
245,458.0,287.0
246,458.0,40.0
247,458.0,28.0
248,457.0,415.0
249,457.0,337.0
250,457.0,267.0
251,457.0,217.0
252,457.0,165.0
253,457.0,156.0
254,457.0,121.0
255,456.0,402.0
256,456.0,381.0
257,456.0,370.0
258,456.0,296.0
259,456.0,255.0
260,456.0,145.0
261,456.0,108.0
262,455.0,63.0
263,454.0,509.0
264,454.0,459.0
265,453.0,319.0
266,453.0,247.0
267,453.0,132.0
268,453.0,77.0
269,453.0,0.0
270,452.0,497.0
271,452.0,360.0
272,452.0,209.0
273,452.0,194.0
274,451.0,425.0
275,451.0,277.0
276,451.0,182.0
277,451.0,89.0
278,450.0,487.0
279,450.0,436.0
280,450.0,329.0
281,450.0,309.0
282,450.0,12.0
283,449.0,469.0
284,449.0,449.0
285,449.0,234.0
286,449.0,99.0
287,449.0,35.0
288,449.0,24.0
289,448.0,173.0
290,448.0,151.0
291,448.0,47.0
292,447.0,407.0
293,447.0,395.0
294,447.0,386.0
295,447.0,369.0
296,447.0,341.0
297,447.0,299.0
298,447.0,260.0
299,447.0,225.0
300,447.0,120.0
301,447.0,111.0
302,447.0,69.0
303,446.0,351.0
304,446.0,287.0
305,446.0,58.0
306,445.0,162.0
307,445.0,141.0
308,444.0,503.0
309,444.0,479.0
310,444.0,204.0
311,443.0,458.0
312,443.0,270.0
313,443.0,250.0
314,443.0,130.0
315,442.0,442.0
316,442.0,416.0
317,442.0,216.0
318,441.0,492.0
319,441.0,429.0
320,441.0,326.0
321,441.0,82.0
322,441.0,3.0
323,440.0,360.0
324,440.0,315.0
325,440.0,241.0
326,440.0,185.0
327,440.0,102.0
328,440.0,15.0
329,439.0,381.0
330,439.0,296.0
331,439.0,195.0
332,439.0,148.0
333,439.0,91.0
334,438.0,467.0
335,438.0,392.0
336,438.0,278.0
337,438.0,172.0
338,438.0,45.0
339,438.0,33.0
340,437.0,405.0
341,437.0,336.0
342,437.0,227.0
343,437.0,111.0
344,437.0,64.0
345,436.0,450.0
346,436.0,372.0
347,436.0,262.0
348,436.0,55.0
349,435.0,511.0
350,435.0,348.0
351,435.0,158.0
352,435.0,75.0
353,435.0,23.0
354,434.0,477.0
355,434.0,421.0
356,434.0,305.0
357,434.0,286.0
358,434.0,204.0
359,434.0,124.0
360,433.0,500.0
361,433.0,249.0
362,432.0,486.0
363,432.0,135.0
364,431.0,431.0
365,431.0,235.0
366,431.0,180.0
367,430.0,441.0
368,430.0,412.0
369,430.0,327.0
370,430.0,214.0
371,430.0,102.0
372,430.0,86.0
373,430.0,7.0
374,429.0,396.0
375,429.0,385.0
376,429.0,357.0
377,429.0,317.0
378,429.0,32.0
379,428.0,366.0
380,428.0,223.0
381,428.0,192.0
382,428.0,143.0
383,428.0,115.0
384,428.0,43.0
385,427.0,459.0
386,427.0,337.0
387,427.0,277.0
388,427.0,266.0
389,426.0,469.0
390,426.0,164.0
391,426.0,60.0
392,426.0,17.0
393,425.0,298.0
394,425.0,255.0
395,425.0,152.0
396,425.0,73.0
397,424.0,496.0
398,424.0,174.0
399,424.0,130.0
400,424.0,93.0
401,424.0,0.0
402,423.0,508.0
403,423.0,377.0
404,423.0,347.0
405,423.0,309.0
406,422.0,447.0
407,422.0,403.0
408,422.0,288.0
409,422.0,244.0
410,422.0,202.0
411,422.0,81.0
412,421.0,479.0
413,421.0,434.0
414,421.0,422.0
415,421.0,184.0
416,421.0,108.0
417,421.0,51.0
418,420.0,320.0
419,420.0,213.0
420,419.0,227.0
421,419.0,37.0
422,419.0,26.0
423,418.0,412.0
424,418.0,388.0
425,418.0,357.0
426,418.0,332.0
427,418.0,141.0
428,418.0,120.0
429,417.0,368.0
430,417.0,273.0
431,417.0,161.0
432,417.0,11.0
433,416.0,486.0
434,416.0,460.0
435,416.0,238.0
436,416.0,193.0
437,416.0,99.0
438,415.0,296.0
439,415.0,252.0
440,415.0,69.0
441,415.0,57.0
442,414.0,501.0
443,414.0,470.0
444,414.0,398.0
445,414.0,172.0
446,414.0,131.0
447,413.0,511.0
448,413.0,451.0
449,413.0,340.0
450,413.0,310.0
451,413.0,262.0
452,413.0,89.0
453,413.0,0.0
454,412.0,440.0
455,412.0,378.0
456,412.0,206.0
457,412.0,151.0
458,411.0,429.0
459,411.0,285.0
460,411.0,220.0
461,411.0,110.0
462,410.0,419.0
463,410.0,350.0
464,410.0,298.0
465,410.0,183.0
466,410.0,79.0
467,410.0,44.0
468,410.0,18.0
469,409.0,408.0
470,409.0,361.0
471,409.0,322.0
472,409.0,232.0
473,409.0,31.0
474,408.0,245.0
475,408.0,191.0
476,408.0,142.0
477,407.0,332.0
478,407.0,163.0
479,407.0,8.0
480,406.0,483.0
481,406.0,387.0
482,406.0,271.0
483,406.0,122.0
484,405.0,494.0
485,405.0,464.0
486,405.0,99.0
487,405.0,60.0
488,404.0,506.0
489,404.0,473.0
490,404.0,260.0
491,404.0,212.0
492,404.0,200.0
493,403.0,399.0
494,403.0,373.0
495,403.0,305.0
496,403.0,72.0
497,402.0,443.0
